"CASENO","SEVERITY","ACCDATE","ACCTIME","NOVEH","NOINJ","NOKILLED","INNEAR","COMMNAME","UGRID","USTREET1","USTREET2","UBLOCK","ROADAUTH","CTRLSECT","ATKM","RM","SIDEOF","QTR","SEC","TWP","RGE","MER","OTHERLOC","lookup_str","lat","lon"
1448657,"INJURY","2003-09-06",1306,2,1,0,"IN","REGINA","RE694640","CAVENDISH ST","DEWDNEY AVE E",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","CAVENDISH ST and DEWDNEY AVE E, REGINA, Saskatchewan",50.455166,-104.557858
1450593,"INJURY","2003-09-06",2245,2,1,0,"IN","REGINA","RE53500","CAMERON ST","1500-1599",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","1549 CAMERON ST, REGINA, Saskatchewan",50.454066,-104.6250455
1317239,"INJURY","2003-09-08",830,2,1,0,"IN","REGINA","RE680880","23RD AVE","ALBERT ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","23RD AVE and ALBERT ST, REGINA, Saskatchewan",50.4233681,-104.6180827
1342893,"INJURY","2003-09-11",1053,2,1,0,"IN","REGINA","RE5600","ALBERT ST","1700-1799",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","1749 ALBERT ST, REGINA, Saskatchewan",50.4510432,-104.6180378
1342894,"INJURY","2003-09-13",1927,2,1,0,"IN","REGINA","RE686020","7TH AVE","LEWVAN DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","7TH AVE and LEWVAN DR, REGINA, Saskatchewan",NA,NA
1349134,"INJURY","2003-09-15",1730,2,1,0,"IN","REGINA","RE689140","ALBERT ST","HILL AVE",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","ALBERT ST and HILL AVE, REGINA, Saskatchewan",50.4283206,-104.6180942
1449875,"INJURY","2003-09-22",1800,2,1,0,"IN","REGINA","RE693230","BROADWAY AVE","WALLACE ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","BROADWAY AVE and WALLACE ST, REGINA, Saskatchewan",50.4376662,-104.5937082
1335115,"INJURY","2003-09-24",2030,2,1,0,"IN","REGINA","RE689140","ALBERT ST","HILL AVE",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","ALBERT ST and HILL AVE, REGINA, Saskatchewan",50.4283206,-104.6180942
1346376,"INJURY","2003-09-25",1530,2,1,0,"IN","REGINA","RE703540","KRAMER BLVD","WASCANA PARKWAY",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","KRAMER BLVD and WASCANA PARKWAY, REGINA, Saskatchewan",NA,NA
1335164,"INJURY","2003-10-03",1253,2,1,0,"IN","REGINA","RE678110","15TH AVE","BROAD ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","15TH AVE and BROAD ST, REGINA, Saskatchewan",50.4424056,-104.606336
